year,population,labor_force,population_percent,employed_total,employed_percent,agrictulture_ratio,nonagriculture_ratio,unemployed,unemployed_percent,not_in_labor,footnotes
1941,99900,55910,56.0,50350,50.4,9100,41250,5560,9.9,43990,
1942,98640,56410,57.2,53750,54.5,9250,44500,2660,4.7,42230,
1943,94640,55540,58.7,54470,57.6,9080,45390,1070,1.9,39100,
1944,93220,54630,58.6,53960,57.9,8950,45010,670,1.2,38590,
1945,94090,53860,57.2,52820,56.1,8580,44240,1040,1.9,40230,
1946,103070,57520,55.8,55250,53.6,8320,46930,2270,3.9,45550,
1947,106018,60168,56.8,57812,54.5,8256,49557,2356,3.9,45850,
1947,101827,59350,58.3,57038,56.0,7890,49148,2311,3.9,42477,
1948,103068,60621,58.8,58343,56.6,7629,50714,2276,3.8,42447,
1949,103994,61286,58.9,57651,55.4,7658,49993,3637,5.9,42708,
1950,104995,62208,59.2,58918,56.1,7160,51758,3288,5.3,42787,
1951,104621,62017,59.2,59961,57.3,6726,53235,2055,3.3,42604,
1952,105231,62138,59.0,60250,57.3,6500,53749,1883,3.0,43093,
1953,107056,63015,58.9,61179,57.1,6260,54919,1834,2.9,44041,1
1954,108321,63643,58.8,60109,55.5,6205,53904,3532,5.5,44678,
1955,109683,65023,59.3,62170,56.7,6450,55722,2852,4.4,44660,
1956,110954,66552,60.0,63799,57.5,6283,57514,2750,4.1,44402,
1957,112265,66929,59.6,64071,57.1,5947,58123,2859,4.3,45336,
1958,113727,67639,59.5,63036,55.4,5586,57450,4602,6.8,46088,
1959,115329,68369,59.3,64630,56.0,5565,59065,3740,5.5,46960,
1960,117245,69628,59.4,65778,56.1,5458,60318,3852,5.5,47617,1
1961,118771,70459,59.3,65746,55.4,5200,60546,4714,6.7,48312,
1962,120153,70614,58.8,66702,55.5,4944,61759,3911,5.5,49539,1
1963,122416,71833,58.7,67762,55.4,4687,63076,4070,5.7,50583,
1964,124485,73091,58.7,69305,55.7,4523,64782,3786,5.2,51394,
1965,126513,74455,58.9,71088,56.2,4361,66726,3366,4.5,52058,
1966,128058,75770,59.2,72895,56.9,3979,68915,2875,3.8,52288,
1967,129874,77347,59.6,74372,57.3,3844,70527,2975,3.8,52527,
1968,132028,78737,59.6,75920,57.5,3817,72103,2817,3.6,53291,
1969,134335,80734,60.1,77902,58.0,3606,74296,2832,3.5,53602,
1970,137085,82771,60.4,78678,57.4,3463,75215,4093,4.9,54315,
1971,140216,84382,60.2,79367,56.6,3394,75972,5016,5.9,55834,
1972,144126,87034,60.4,82153,57.0,3484,78669,4882,5.6,57091,1
1973,147096,89429,60.8,85064,57.8,3470,81594,4365,4.9,57667,1
1974,150120,91949,61.3,86794,57.8,3515,83279,5156,5.6,58171,
1975,153153,93774,61.2,85846,56.1,3408,82438,7929,8.5,59377,
1976,156150,96158,61.6,88752,56.8,3331,85421,7406,7.7,59991,
1977,159033,99008,62.3,92017,57.9,3283,88734,6991,7.1,60025,
1978,161910,102250,63.2,96048,59.3,3387,92661,6202,6.1,59659,1
1979,164863,104962,63.7,98824,59.9,3347,95477,6137,5.8,59900,
1980,167745,106940,63.8,99302,59.2,3364,95938,7637,7.1,60806,
1981,170130,108670,63.9,100397,59.0,3368,97030,8273,7.6,61460,
1982,172271,110204,64.0,99526,57.8,3401,96125,10678,9.7,62067,
1983,174215,111550,64.0,100834,57.9,3383,97450,10717,9.6,62665,
1984,176383,113544,64.4,105005,59.5,3321,101685,8539,7.5,62839,
1985,178206,115461,64.8,107150,60.1,3179,103971,8312,7.2,62744,
1986,180587,117834,65.3,109597,60.7,3163,106434,8237,7.0,62752,1
1987,182753,119865,65.6,112440,61.5,3208,109232,7425,6.2,62888,
1988,184613,121669,65.9,114968,62.3,3169,111800,6701,5.5,62944,
1989,186393,123869,66.5,117342,63.0,3199,114142,6528,5.3,62523,
1990,189164,125840,66.5,118793,62.8,3223,115570,7047,5.6,63324,1
1991,190925,126346,66.2,117718,61.7,3269,114449,8628,6.8,64578,
1992,192805,128105,66.4,118492,61.5,3247,115245,9613,7.5,64700,
1993,194838,129200,66.3,120259,61.7,3115,117144,8940,6.9,65638,
1994,196814,131056,66.6,123060,62.5,3409,119651,7996,6.1,65758,1
1995,198584,132304,66.6,124900,62.9,3440,121460,7404,5.6,66280,
1996,200591,133943,66.8,126708,63.2,3443,123264,7236,5.4,66647,
1997,203133,136297,67.1,129558,63.8,3399,126159,6739,4.9,66836,1
1998,205220,137673,67.1,131463,64.1,3378,128085,6210,4.5,67547,1
1999,207753,139368,67.1,133488,64.3,3281,130207,5880,4.2,68385,1
2000,212577,142583,67.1,136891,64.4,2464,134427,5692,4.0,69994,1
2001,215092,143734,66.8,136933,63.7,2299,134635,6801,4.7,71359,
2002,217570,144863,66.6,136485,62.7,2311,134174,8378,5.8,72707,
2003,221168,146510,66.2,137736,62.3,2275,135461,8774,6.0,74658,1
2004,223357,147401,66.0,139252,62.3,2232,137020,8149,5.5,75956,1
2005,226082,149320,66.0,141730,62.7,2197,139532,7591,5.1,76762,1
2006,228815,151428,66.2,144427,63.1,2206,142221,7001,4.6,77387,1
2007,231867,153124,66.0,146047,63.0,2095,143952,7078,4.6,78743,1
2008,233788,154287,66.0,145362,62.2,2168,143194,8924,5.8,79501,1
2009,235801,154142,65.4,139877,59.3,2103,137775,14265,9.3,81659,1
2010,237830,153889,64.7,139064,58.5,2206,136858,14825,9.6,83941,1
